Ціна,Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Місто,Район,Працює ліфт,Підключене резервне живлення
6000.0,2,4,30.0,10.0,1 кімната,З меблями,Євроремонт,Одеса,Приморський (Одеса),0,0
7000.0,3,5,26.0,4.0,1 кімната,З меблями,Косметичний ремонт,Львів,Личаківський (Львів),0,0
12000.0,1,5,48.0,6.0,2 кімнати,З меблями,Косметичний ремонт,Житомир,Невідомо,0,0
10000.0,8,9,40.0,8.5,1 кімната,З меблями,Косметичний ремонт,Київ,Оболонський (Київ),0,0
12174.0,4,4,42.0,6.0,1 кімната,З меблями,Євроремонт,Чернівці,Невідомо,0,0
9333.0,1,2,50.0,8.0,2 кімнати,З меблями,Не вказано,Чернівці,Невідомо,0,0
5500.0,6,9,37.0,8.0,1 кімната,З меблями,Євроремонт,Кам'янське,Невідомо,0,0
13391.0,1,5,35.0,9.0,1 кімната,З меблями,Авторський проект,Ужгород,Невідомо,0,0
11000.0,8,9,72.0,16.0,2 кімнати,З меблями,Євроремонт,Івано-Франківськ,Невідомо,0,0
14999.0,2,10,75.0,16.0,2 кімнати,З меблями,Євроремонт,Івано-Франківськ,Невідомо,0,0
18500.0,4,12,46.0,24.0,2 кімнати,З меблями,Авторський проект,Дніпро,Соборний (Дніпро),0,0
7000.0,1,3,27.0,7.0,1 кімната,З меблями,Косметичний ремонт,Одеса,Приморський (Одеса),0,0
24000.0,11,25,74.0,25.0,3 кімнати,З меблями,Авторський проект,Київ,Дніпровський (Київ),1,1
12500.0,9,10,45.0,20.0,1 кімната,З меблями,Євроремонт,Львів,Франківський (Львів),0,0
5000.0,3,9,48.0,7.0,2 кімнати,З меблями,Косметичний ремонт,Кривий Ріг,Невідомо,0,0
20289.0,3,18,64.0,18.0,1 кімната,З меблями,Євроремонт,Одеса,Приморський (Одеса),1,0
16000.0,2,3,49.0,12.0,2 кімнати,З меблями,Авторський проект,Стрий,Невідомо,0,0
16000.0,1,5,55.0,7.0,2 кімнати,З меблями,Євроремонт,Ужгород,Невідомо,0,0
30434.0,10,10,64.0,15.0,2 кімнати,З меблями,Авторський проект,Львів,Шевченківський (Львів),0,0
8000.0,4,14,41.0,9.0,1 кімната,З меблями,Косметичний ремонт,Дніпро,Чечелівський (Дніпро),0,0
1999.0,2,5,21.0,10.0,1 кімната,З меблями,Косметичний ремонт,Чугуїв,Невідомо,0,0
16000.0,11,17,65.0,15.0,2 кімнати,З меблями,Не вказано,Хмельницький,Невідомо,0,0
16231.0,5,10,50.0,20.0,1 кімната,З меблями,Євроремонт,Львів,Залізничний (Львів),0,0
54781.0,14,24,61.0,9.0,2 кімнати,З меблями,Авторський проект,Київ,Печерський (Київ),0,0
25000.0,3,10,85.0,18.0,2 кімнати,Не вказано,Не вказано,Хмельницький,Невідомо,0,0
4500.0,8,9,33.0,6.0,1 кімната,З меблями,Євроремонт,Харків,Київський (Харків),0,0
15000.0,10,11,115.0,20.0,2 кімнати,З меблями,Не вказано,Хмельницький,Невідомо,0,0
38500.0,2,9,70.0,16.0,2 кімнати,З меблями,Не вказано,Київ,Подільський (Київ),0,0
20289.0,3,9,72.0,12.0,2 кімнати,З меблями,Євроремонт,Івано-Франківськ,Невідомо,0,0
6500.0,1,5,45.0,8.0,2 кімнати,З меблями,Не вказано,Тернопіль,Невідомо,0,0
20289.0,13,22,36.0,15.0,2 кімнати,З меблями,Авторський проект,Дніпро,Соборний (Дніпро),0,0
11000.0,3,9,45.0,15.0,1 кімната,З меблями,Євроремонт,Бориспіль,Невідомо,0,0
11000.0,7,9,64.0,9.0,3 кімнати,З меблями,Житловий стан,Рівне,Невідомо,0,0
13800.0,2,3,40.0,10.0,1 кімната,З меблями,Євроремонт,Ужгород,Невідомо,0,0
11000.0,2,5,35.0,6.0,1 кімната,Не вказано,Не вказано,Київ,Печерський (Київ),0,0
12000.0,4,11,45.0,15.0,1 кімната,З меблями,Євроремонт,Рівне,Невідомо,0,0
16231.0,3,3,78.0,25.0,2 кімнати,З меблями,Не вказано,Ужгород,Невідомо,0,0
2000.0,2,5,30.0,6.0,1 кімната,З меблями,Не вказано,Херсон,Невідомо,0,0
14000.0,3,5,59.0,30.0,2 кімнати,З меблями,Євроремонт,Харків,Шевченківський  (Харків),0,0
11500.0,5,5,32.0,9.0,1 кімната,З меблями,Не вказано,Київ,Шевченківський (Київ),0,0
15000.0,16,24,58.0,16.0,1 кімната,З меблями,Авторський проект,Одеса,Приморський (Одеса),1,0
19000.0,8,12,74.0,25.0,1 кімната,З меблями,Євроремонт,Черкаси,Невідомо,0,0
9000.0,5,6,40.0,12.0,1 кімната,Не вказано,Не вказано,Одеса,Київський (Одеса),0,0
21000.0,4,10,50.0,15.0,1 кімната,Не вказано,Не вказано,Львів,Франківський (Львів),0,0
52752.0,2,7,198.0,25.0,3 кімнати,З меблями,Авторський проект,Одеса,Приморський (Одеса),0,0
5000.0,3,3,35.0,6.0,2 кімнати,З меблями,Євроремонт,Одеса,Хаджибейський (Одеса),0,0
17000.0,12,12,67.0,10.0,2 кімнати,Не вказано,Не вказано,Львів,Франківський (Львів),0,0
7500.0,8,9,44.0,10.0,1 кімната,З меблями,Не вказано,Буча,Невідомо,0,0
87717.0,4,4,115.0,30.0,5+ кімнат,З меблями,Авторський проект,Львів,Галицький (Львів),0,0
10145.0,2,2,80.0,10.0,3 кімнати,З меблями,Косметичний ремонт,Чернівці,Невідомо,0,0
6800.0,5,9,32.0,7.0,1 кімната,З меблями,Євроремонт,Миколаїв,Центральний (Миколаїв),0,0
11000.0,2,9,35.0,9.0,1 кімната,З меблями,Євроремонт,Львів,Франківський (Львів),0,0
6000.0,3,9,36.0,7.0,1 кімната,З меблями,Косметичний ремонт,Запоріжжя,Невідомо,0,0
10000.0,8,10,36.0,8.0,1 кімната,З меблями,Євроремонт,Рівне,Невідомо,0,0
12000.0,4,5,37.0,10.0,1 кімната,З меблями,Авторський проект,Полтава,Невідомо,0,0
